(Do Not Modify) Province,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Abbreviation,Created On
611e4e10-c0eb-e811-817b-480fcff4b171,XIob+Sm3UO9UxKDdWMbem+FWoz3zSqSHYYWrOYZd0HQT4jaJ5wuFkxEOnqU0V8Wu6rk24zLE7lD0gKH1snnl2Q==,2018-11-19 5:57,Northern Territory,NT,2018-11-18 22:57
f01f468d-d9a5-e611-80bb-00155d64ab22,LYAWMXOlsz5GGCAckEQhPvWFVzcbx4o2+uCb/yGP4HsIMCg/5F9bFbRHo1lLEvvoM3g92dKuMZQvczg0RbjM4Q==,2017-10-11 16:17,Northwest Territories,NT,2016-11-08 10:34
f21f468d-d9a5-e611-80bb-00155d64ab22,AvWkSEEtX06xzHso8SAAEM4BMbvvp2Wu/V9d3f4zts2Q0RP/4+/2ETNXct8Ebzmw9ykavQHqQsxW1JNsMMN0jA==,2017-10-11 16:17,Nova Scotia,NS,2016-11-08 10:34
f41f468d-d9a5-e611-80bb-00155d64ab22,9MY6+YWKvpgginDXH2O6wPMY8BcTi0y0A/Zi6rgNGhGMAqBo9coP1Y7TWyJlQq5oGXialU7kxLfGCwQb6Gwbwg==,2017-10-11 16:17,Nunavut,NU,2016-11-08 10:34
f61f468d-d9a5-e611-80bb-00155d64ab22,62N2fv3qzMXVTL+woRhCeJC1hLWy7FwMdvzV+KxUTxF2E9+bGCQJV7xOa2nW3w6kNq6lDUxkHH5kDGzguZtvpg==,2017-10-11 16:17,Ohio,OH,2016-11-08 10:34
f81f468d-d9a5-e611-80bb-00155d64ab22,KM+Mo2TW+XzOK5xN614ksx53OEZugRMNWkEb+XXXs8CU7EOPaBNeS1yJ2LdvN5+9bfKXhzuNzZ64brRVgoiFbw==,2017-10-11 16:17,Oklahoma,OK,2016-11-08 10:34
fa1f468d-d9a5-e611-80bb-00155d64ab22,VANfU+58RMhZKvf69UDZzcRobui+GadBLGTQ4p6XU51QmsRXvOBYJSOuBwk0gvxmjYcvTetDqQnCGTQTjsayfA==,2017-10-11 16:17,Ontario,ON,2016-11-08 10:34
fc1f468d-d9a5-e611-80bb-00155d64ab22,WZE1TiMtT66uJMHC8EsiHSPy0wYjgeedSjh+8wJlDMMlF8R1v4P4v22cG8I7aDujk0cofj6l1mReAZUk5CTk7w==,2017-10-11 16:17,Oregon,OR,2016-11-08 10:34
8745f715-24ed-e811-817b-480fcff4b171,ZHFdmN25nnnGQGD7poBigGbTkdHyIYKvTCxLpEXSk7H5wp4sSscNb7lOojw9m1KKXs7Q7B8LNyDsd9fc8a7yrA==,2018-11-21 0:26,Papua New Guinea,PNG,2018-11-20 17:26
fe1f468d-d9a5-e611-80bb-00155d64ab22,GCyAQpHe7WyFWR6Jf7fOoZujVmNWIaP7EAWuyhIy+1Ji2X/S+zvO482MNW7qJh5FmSEnOXbWJUBeet8ZRiArTA==,2017-10-11 16:17,Pennsylvania,PA,2016-11-08 10:34
